,0,,,
NSLNISP,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
NTPC,Utilities,Power,Power,Power Generation
NTPCGREEN,Utilities,Power,Power,Power Generation
NUCLEUS,Information Technology,Information Technology,IT - Software,Software Products
NURECA,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
NUVAMA,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
NUVOCO,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
NYKAA,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
OAL,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
OBCL,Services,Services,Transport Services,Logistics Solution Provider
OBEROIRLTY,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
OCCL,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
OCCLLTD,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
ODIGMA,Information Technology,Information Technology,IT - Services,IT Enabled Services
OFSS,Information Technology,Information Technology,IT - Software,Software Products
OIL,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production
OILCOUNTUB,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Equipment & Services
OLAELEC,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
OLECTRA,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
OMAXAUTO,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
OMAXE,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
OMINFRAL,Industrials,Construction,Construction,Civil Construction
OMKARCHEM,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ONELIFECAP,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
ONEPOINT,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
ONESOURCE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ONGC,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production
ONMOBILE,Consumer Discretionary,"Media, Entertainment & Publication",Media,Web based media and service
ONWARDTEC,Information Technology,Information Technology,IT - Services,IT Enabled Services
OPTIEMUS,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories
ORBTEXP,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
ORCHASP,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
ORCHPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ORICONENT,Industrials,Capital Goods,Industrial Products,Packaging
ORIENTALTL,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles
ORIENTBELL,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics
ORIENTCEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
ORIENTCER,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories
ORIENTELEC,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
ORIENTHOT,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
ORIENTLTD,Industrials,Capital Goods,Industrial Products,Packaging
ORIENTPPR,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
ORIENTTECH,Information Technology,Information Technology,IT - Services,IT Enabled Services
ORISSAMINE,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
ORTINGLOBE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
OSIAHYPER,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
OSWALAGRO,Services,Services,Commercial Services & Supplies,Trading & Distributors
OSWALGREEN,Financial Services,Financial Services,Finance,Investment Company
OSWALSEEDS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
PAGEIND,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
PAISALO,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
PAKKA,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
PALASHSECU,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
PALREDTEC,Information Technology,Information Technology,IT - Services,IT Enabled Services
PANACEABIO,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
PANACHE,Information Technology,Information Technology,IT - Services,IT Enabled Services
PANAMAPET,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants
PANSARI,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
PAR,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
PARACABLES,Industrials,Capital Goods,Industrial Products,Cables - Electricals
PARADEEP,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
PARAGMILK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products
PARAS,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
PARASPETRO,Financial Services,Financial Services,Finance,Investment Company
PARKHOTELS,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
PARSVNATH,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
PASUPTAC,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
PATANJALI,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
PATELENG,Industrials,Construction,Construction,Civil Construction
PATINTLOG,Services,Services,Transport Services,Logistics Solution Provider
PAVNAIND,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
PAYTM,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
PCBL,Commodities,Chemicals,Chemicals & Petrochemicals,Carbon Black
PCJEWELLER,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
PDMJEPAPER,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
PDSL,Consumer Discretionary,Textiles,Textiles & Apparels,Trading - Textile Products
PEARLPOLY,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer
PEL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
PENIND,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
PENINLAND,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
PERSISTENT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
PETRONET,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier
PFC,Financial Services,Financial Services,Finance,Financial Institution
PFIZER,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
PFOCUS,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Media & Entertainment
PFS,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
PGEL,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
PGHH,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
PGHL,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
PGIL,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
PHOENIXLTD,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
PIDILITIND,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
PIGL,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
PIIND,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
PILANIINVS,Financial Services,Financial Services,Finance,Holding Company
PILITA,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer
PIONEEREMB,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
PITTIENG,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
PIXTRANS,Industrials,Capital Goods,Industrial Products,Rubber
PKTEA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
PLASTIBLEN,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
PLATIND,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
PLAZACABLE,Industrials,Capital Goods,Industrial Products,Cables - Electricals
PNB,Financial Services,Financial Services,Banks,Public Sector Bank
PNBGILTS,Financial Services,Financial Services,Finance,Investment Company
PNBHOUSING,Financial Services,Financial Services,Finance,Housing Finance Company
PNC,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
PNCINFRA,Industrials,Construction,Construction,Civil Construction
PNGJL,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
POCL,Commodities,Metals & Mining,Diversified Metals,Diversified Metals
PODDARMENT,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
POKARNA,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles
POLICYBZR,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
POLYCAB,Industrials,Capital Goods,Industrial Products,Cables - Electricals
POLYMED,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
POLYPLEX,Industrials,Capital Goods,Industrial Products,Packaging
PONNIERODE,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
POONAWALLA,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
POWERGRID,Utilities,Power,Power,Power - Transmission
POWERINDIA,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
POWERMECH,Industrials,Construction,Construction,Civil Construction
PPAP,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
PPL,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
PPLPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
PRABHA,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production
PRAENG,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
PRAJIND,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
PRAKASH,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
PRAKASHSTL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
PRAXIS,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
PRECAM,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
PRECOT,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
PRECWIRE,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
PREMEXPLN,Commodities,Chemicals,Chemicals & Petrochemicals,Explosives
PREMIER,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
PREMIERENE,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
PREMIERPOL,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
PRESTIGE,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
PRICOLLTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
PRIMESECU,Financial Services,Financial Services,Finance,Other Financial Services
PRINCEPIPE,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
PRITIKAUTO,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
PRIVISCL,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
PROTEAN,Information Technology,Information Technology,IT - Services,IT Enabled Services
PROZONER,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
PRSMJOHNSN,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
PRUDENT,Financial Services,Financial Services,Capital Markets,Financial Products Distributor
PRUDMOULI,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
PSB,Financial Services,Financial Services,Banks,Public Sector Bank
PSPPROJECT,Industrials,Construction,Construction,Civil Construction
PTC,Utilities,Power,Power,Power Trading
PTCIL,Industrials,Capital Goods,Industrial Products,Other Industrial Products
PTL,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
PUNJABCHEM,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
PURVA,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
PVP,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
PVRINOX,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
PVSL,Consumer Discretionary,Automobile and Auto Components,Automobiles,Auto Dealer
PYRAMID,Industrials,Capital Goods,Industrial Products,Packaging
QPOWER,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
QUADFUTURE,Industrials,Capital Goods,Industrial Products,Cables - Electricals
QUESS,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
QUICKHEAL,Information Technology,Information Technology,IT - Software,Software Products
RACE,Utilities,Utilities,Other Utilities,Waste Management
RACLGEAR,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
RADAAN,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Media & Entertainment
RADHIKAJWE,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
RADIANTCMS,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
RADICO,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
RADIOCITY,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Media & Entertainment
RAILTEL,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services
RAIN,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
RAINBOW,Healthcare,Healthcare,Healthcare Services,Hospital
RAJESHEXPO,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
RAJMET,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
RAJRATAN,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
RAJRILTD,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
RAJSREESUG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
RAJTV,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
RALLIS,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
RAMANEWS,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
RAMAPHO,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
RAMASTEEL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
RAMCOCEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
RAMCOIND,Commodities,Construction Materials,Other Construction Materials,Other Construction Materials
RAMCOSYS,Information Technology,Information Technology,IT - Software,Software Products
RAMKY,Industrials,Construction,Construction,Civil Construction
RAMRAT,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
RANASUG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
RANEENGINE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
RANEHOLDIN,Financial Services,Financial Services,Finance,Holding Company
RATEGAIN,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
RATNAMANI,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
RATNAVEER,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
RAYMOND,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
RAYMONDLSL,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
RBA,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
RBL,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
RBLBANK,Financial Services,Financial Services,Banks,Private Sector Bank
RBZJEWEL,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
RCF,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
RCOM,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
RECLTD,Financial Services,Financial Services,Finance,Financial Institution
REDINGTON,Services,Services,Commercial Services & Supplies,Trading & Distributors
REDTAPE,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
REFEX,Commodities,Chemicals,Chemicals & Petrochemicals,Industrial Gases
REGENCERAM,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics
RELAXO,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
RELCHEMQ,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
RELIABLE,Financial Services,Financial Services,Finance,Other Financial Services
RELIANCE,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
RELIGARE,Financial Services,Financial Services,Finance,Investment Company
RELINFRA,Utilities,Power,Power,Integrated Power Utilities
RELTD,Services,Services,Commercial Services & Supplies,Trading & Distributors
REMSONSIND,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
RENUKA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
REPCOHOME,Financial Services,Financial Services,Finance,Housing Finance Company
REPRO,Consumer Discretionary,"Media, Entertainment & Publication",Printing & Publication,Printing & Publication
RESPONIND,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
RETAIL,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
RGL,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
RHFL,Financial Services,Financial Services,Finance,Housing Finance Company
RHIM,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories
RHL,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
RICOAUTO,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
RIIL,Services,Services,Transport Services,Logistics Solution Provider
RISHABH,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
RITCO,Services,Services,Transport Services,Logistics Solution Provider
RITES,Industrials,Construction,Construction,Civil Construction
RKDL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
RKEC,Industrials,Construction,Construction,Civil Construction
RKFORGE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
RKSWAMY,Consumer Discretionary,"Media, Entertainment & Publication",Media,Advertising & Media Agencies
RML,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ROHLTD,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
ROLEXRINGS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ROLLT,Industrials,Capital Goods,Industrial Products,Packaging
ROLTA,Information Technology,Information Technology,IT - Services,IT Enabled Services
ROML,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
ROSSARI,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ROSSELLIND,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
ROSSTECH,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
ROTO,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
ROUTE,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services
RPEL,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories
RPGLIFE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
RPOWER,Utilities,Power,Power,Power Generation
RPPINFRA,Industrials,Construction,Construction,Civil Construction
RPPL,Industrials,Capital Goods,Industrial Products,Packaging
RPSGVENT,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
RPTECH,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
RRKABEL,Industrials,Capital Goods,Industrial Products,Cables - Electricals
RSSOFTWARE,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
RSWM,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
RSYSTEMS,Information Technology,Information Technology,IT - Services,IT Enabled Services
RTNINDIA,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
RTNPOWER,Utilities,Power,Power,Power Generation
RUBFILA,Industrials,Capital Goods,Industrial Products,Rubber
RUBYMILLS,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
RUCHINFRA,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
RUCHIRA,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
RUPA,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
RUSHIL,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
RUSTOMJEE,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
RVHL,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
RVNL,Industrials,Construction,Construction,Civil Construction
RVTH,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
S&SPOWER,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
SABEVENTS,Consumer Discretionary,"Media, Entertainment & Publication",Media,Electronic Media
SABTNL,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
SADBHAV,Industrials,Construction,Construction,Civil Construction
SADBHIN,Industrials,Construction,Construction,Civil Construction
SADHNANIQ,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
SAFARI,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer
SAGARDEEP,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
SAGCEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
SAGILITY,Information Technology,Information Technology,IT - Services,IT Enabled Services
SAH,Industrials,Capital Goods,Industrial Products,Packaging
SAHYADRI,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
SAIL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
SAILIFE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SAKAR,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SAKHTISUG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
SAKSOFT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
SAKUMA,Services,Services,Commercial Services & Supplies,Trading & Distributors
SALASAR,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
SALONA,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SALSTEEL,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron
SALZERELEC,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
SAMBHAAV,Consumer Discretionary,"Media, Entertainment & Publication",Media,Electronic Media
SAMHI,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
SAMMAANCAP,Financial Services,Financial Services,Finance,Housing Finance Company
SAMPANN,Industrials,Capital Goods,Industrial Products,Rubber
SANATHAN,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SANCO,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
SANDESH,Consumer Discretionary,"Media, Entertainment & Publication",Media,Print Media
SANDHAR,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SANDUMA,Energy,"Oil, Gas & Consumable Fuels",Consumable Fuels,Coal
SANGAMIND,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SANGHIIND,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
SANGHVIMOV,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
SANGINITA,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
SANOFI,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SANOFICONR,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SANSERA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SANSTAR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
SANWARIA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
SAPPHIRE,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
SARDAEN,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
SAREGAMA,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Media & Entertainment
SARLAPOLY,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SARVESHWAR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
SASKEN,Information Technology,Information Technology,IT - Services,IT Enabled Services
SASTASUNDR,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
SATIA,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
SATIN,Financial Services,Financial Services,Finance,Microfinance Institutions
SATINDLTD,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SAURASHCEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
SBC,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
SBCL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SBFC,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
SBGLP,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
SBICARD,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
SBILIFE,Financial Services,Financial Services,Insurance,Life Insurance
SBIN,Financial Services,Financial Services,Banks,Public Sector Bank
SCHAEFFLER,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SCHAND,Consumer Discretionary,"Media, Entertainment & Publication",Printing & Publication,Printing & Publication
SCHNEIDER,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
SCI,Services,Services,Transport Services,Shipping
SCILAL,Financial Services,Financial Services,Finance,Investment Company
SCPL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products
SDBL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
SEAMECLTD,Services,Services,Transport Services,Shipping
SECMARK,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
SECURKLOUD,Information Technology,Information Technology,IT - Services,IT Enabled Services
SEJALLTD,Industrials,Capital Goods,Industrial Products,Glass - Industrial
SELAN,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production
SELMC,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SEMAC,Industrials,Construction,Construction,Civil Construction
SENCO,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
SENORES,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SEPC,Industrials,Construction,Construction,Civil Construction
SEQUENT,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SERVOTECH,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
SESHAPAPER,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
SETCO,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SETUINFRA,Industrials,Construction,Construction,Civil Construction
SEYAIND,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
SFL,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
SGIL,Industrials,Capital Goods,Industrial Products,Castings & Forgings
SGL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SGLTL,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
SHAH,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
